content,used,date_used
"12/03","1967 – Christiaan Barnard performs the first successful human heart transplant in Cape Town.",FALSE,
"12/04","1998 – The first component of the International Space Station (ISS) is launched into orbit.",FALSE,
"12/05","1791 – Wolfgang Amadeus Mozart, Austrian composer, dies.",FALSE,
"12/06","1877 – Thomas Edison demonstrates the first sound recording on his phonograph.",FALSE,
"12/07","1941 – Japan attacks the U.S. naval base at Pearl Harbor.",FALSE,
"12/08","1980 – John Lennon is shot and killed in New York City.",FALSE,
"12/09","1968 – Douglas Engelbart gives 'The Mother of All Demos', publicly demonstrating the computer mouse, hypertext, and graphical user interface for the first time.",FALSE,
"12/10","1901 – The first Nobel Prizes are awarded.",FALSE,
"12/11","1936 – King Edward VIII of the United Kingdom abdicates to marry the divorced American Wallis Simpson.",FALSE,
"12/12","1901 – Guglielmo Marconi receives the first transatlantic wireless signal.",FALSE,
"12/13","1642 – Dutch navigator Abel Tasman discovers New Zealand.",FALSE,
"12/14","1911 – Roald Amundsen and his expedition become the first people to reach the South Pole.",FALSE,
"12/15","1791 – The Bill of Rights, the first ten amendments to the U.S. Constitution, is ratified.",FALSE,
"12/16","1773 – The Boston Tea Party, a protest against British taxes, takes place in Boston.",FALSE,
"12/17","1903 – The Wright brothers make the first controlled, powered airplane flight at Kitty Hawk.",FALSE,
"12/18","1892 – Pyotr Ilyich Tchaikovsky's ballet 'The Nutcracker' premieres in St. Petersburg.",FALSE,
"12/19","1984 – The United Kingdom and China sign the agreement on the handover of Hong Kong to China in 1997.",FALSE,
"12/20","1990 – Tim Berners-Lee launches the world's first website.",FALSE,
"12/21","1937 – Walt Disney's first full-length animated feature film, 'Snow White and the Seven Dwarfs', premieres in Los Angeles.",FALSE,
"12/22","1894 – Alfred Dreyfus is wrongly convicted of treason in Paris, beginning the Dreyfus affair.",FALSE,
"12/23","1888 – Dutch painter Vincent van Gogh cuts off part of his ear during a mental health crisis.",FALSE,
"12/24","1914 – An unofficial Christmas truce occurs on the Western Front during World War I.",FALSE,
"12/25","800 – Pope Leo III crowns Charlemagne as Emperor of the Romans.",FALSE,
"12/26","1898 – Marie and Pierre Curie announce the discovery of a new chemical element, which they name radium.",FALSE,
"12/27","1831 – Charles Darwin embarks on his five-year voyage of discovery aboard the HMS Beagle.",FALSE,
"12/28","1895 – The Lumière brothers hold the world's first public film screening in Paris.",FALSE,
"12/29","1890 – The Wounded Knee Massacre occurs in South Dakota.",FALSE,
"12/30","1922 – The Union of Soviet Socialist Republics (USSR) is officially established.",FALSE,
"12/31","1879 – Thomas Edison gives the first public demonstration of his electric light bulb.",FALSE,
